KABUPATEN,KECAMATAN,KODE BPS,DESA,IKS,IKE,IKL,IDM,KATEGORI IDM,BINARY STATUS,matches
ACEH UTARA,SAWANG,1111010001,RISEH TUNONG,0.56,3667,3333,0.42,SANGAT TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010002,GUNCI,7029,4167,3333,4843,SANGAT TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010003,KUBU,6914,4667,4667,5416,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010004,BLANG CUT,6514,3333,4667,4838,SANGAT TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010005,RISEH TEUNGOH,5714,0.45,5333,5183,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010006,RISEH BAROH,5829,3833,6667,5443,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010007,LHOK CUT,6914,3333,5333,5194,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010008,SAWANG,7429,0.65,5333,6421,BERKEMBANG,MAJU,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010009,BLANG TEURAKAN,6857,0.5,5333,573,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010010,JURONG,6857,3167,6667,5563,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010011,BLANG MANYAK,6514,0.35,6667,556,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010012,LHOK JOK,0.68,4333,4667,5267,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010013,BABAH KRUENG,7771,6833,3333,5979,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010014,RAMBONG PAYONG,7257,4333,0.6,5863,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010015,TEUPIN RUSEP,6629,3667,0.4,4765,SANGAT TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010016,LANCOK,5886,0.35,5333,4906,SANGAT TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010017,LHOK BAYU,0.6,4667,4667,5111,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010018,PAYA RABO TIMU,6514,4333,0.6,5616,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010019,PAYA RABO LHOK,0.68,0.5,0.6,5933,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010020,KRUENG BARO,6229,0.4,0.4,4743,SANGAT TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010021,BLANG REULING,5714,4333,4667,4905,SANGAT TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010022,PUNTEUET,6629,3833,0.6,5487,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010023,MEUNASAH PULO,7486,5667,0.6,6384,BERKEMBANG,MAJU,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010024,LHOK KUYUN,0.72,4333,6667,6067,BERKEMBANG,MAJU,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010025,LHOK GAJAH,6857,0.4,4667,5175,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010026,PANTE JALOH,6629,0.5,0.4,521,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010027,BABAH BULOH,7086,4333,6667,6029,BERKEMBANG,MAJU,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010028,COT LAMBIDENG,0.6,2833,6667,5167,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010029,GAMPONG TEUNGOH,7371,0.55,2667,5179,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010030,PAYA GABOH,0.64,0.45,5333,5411,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010031,KUTA MEULIGOE,6743,4167,6667,5859,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010032,ABEUK REULING,6286,0.4,5333,5206,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010034,ULEE GEUDONG,6857,5833,6667,6452,BERKEMBANG,MAJU,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010035,TANJONG KEUMALA,5714,4167,0.6,5294,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010036,LHOK KREK,5543,0.35,0.6,5014,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010038,LAGANG,6686,3833,6667,5729,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,SAWANG,1111010039,LHOK MERBO,6286,4333,4667,5095,TERTINGGAL,TERTINGGAL,"('SAWANG', 100)"
ACEH UTARA,NISAM,1111020007,JEULIKAT,0.52,0.45,6667,5456,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020008,MEUNASAH CUT,5257,0.45,5333,503,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020009,ALUE BILI,6571,0.45,0.6,569,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020010,COT MAMBONG,6743,0.45,0.6,5748,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020011,BLANG DALAM TUNONG,6971,0.5,4667,5546,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020012,BLANG DALAM BAROH,6286,0.5,6667,5984,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020013,BLANG DALAM GEUNTENG,6914,0.45,0.6,5805,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020014,TINGKEUM,6571,6667,6667,6635,BERKEMBANG,MAJU,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020015,MEUNASAH RAYEUK,5771,4667,0.6,5479,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020016,PEUNAYAN,6057,5333,0.6,5797,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020017,PALOH MAMPREE,5429,5833,0.6,5754,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020018,PANTON,5657,4333,6667,5552,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020019,MEUNASAH ALUE,0.64,0.6,6667,6356,BERKEMBANG,MAJU,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020022,PALOH MAMBU,6571,4167,6667,5802,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020023,GAMPONG BARAT,6343,0.5,6667,6003,BERKEMBANG,MAJU,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020024,MEUNASAH BEUNOT,6571,4667,6667,5968,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020026,GAMPONG TEUNGOH,8171,5333,6667,6724,BERKEMBANG,MAJU,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020028,COT EUNTUNG,6571,0.35,0.6,5357,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020029,KEUTAPANG,0.68,5167,5333,5767,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020030,BLANG CROK,6629,4167,5333,5376,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020031,BINJEE,6229,4833,0.6,5687,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020032,COT LEUPEE,0.6,5167,6667,5944,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020033,MEUNASAH KRUENG,6286,4167,5333,5262,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020034,ULEE BLANG,6629,3667,5333,521,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020035,SEUNEUBOK,6057,5167,0.6,5741,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020036,BLANG KARIENG,0.76,0.55,0.6,6367,BERKEMBANG,MAJU,"('NISAM', 100)"
ACEH UTARA,NISAM,1111020037,PALOH KAYEE KUNYET,6114,5167,0.6,576,TERTINGGAL,TERTINGGAL,"('NISAM', 100)"
ACEH UTARA,NISAM ANTARA,1111021001,ALUE DUA,5771,5333,3333,4813,SANGAT TERTINGGAL,TERTINGGAL,"('NISAM ANTARA', 100)"
ACEH UTARA,NISAM ANTARA,1111021002,ALUE PAPEUN,5543,0.5,3333,4625,SANGAT TERTINGGAL,TERTINGGAL,"('NISAM ANTARA', 100)"
ACEH UTARA,NISAM ANTARA,1111021003,BLANG JRAT,6514,3333,4667,4838,SANGAT TERTINGGAL,TERTINGGAL,"('NISAM ANTARA', 100)"
ACEH UTARA,NISAM ANTARA,1111021004,BLANG POHROH,4914,2667,0.6,4527,SANGAT TERTINGGAL,TERTINGGAL,"('NISAM ANTARA', 100)"
